ts,open,high,low,close,volume
1767225600000,863.6,866.0,863.1,865.7,998.57
1767229200000,865.7,873.2,865.5,872.5,4274.16
1767232800000,872.5,874.5,870.4,871.3,4175.98
1767236400000,871.3,873.0,868.3,868.6,2204.1
1767240000000,868.6,868.9,861.6,862.9,1697.29
1767243600000,862.9,864.7,862.1,862.4,1749.08
1767247200000,862.4,864.4,861.2,861.3,2060.46
1767250800000,861.3,861.3,858.6,858.8,2393.76
1767254400000,858.8,860.9,858.2,860.6,2294.86
1767258000000,860.6,861.0,859.3,859.4,1754.7
1767261600000,859.4,861.3,859.4,860.5,994.63
1767265200000,860.5,861.4,859.9,861.1,1629.24
1767268800000,861.1,861.1,855.5,858.5,3812.57
1767272400000,858.5,860.2,857.7,858.0,2046.45
1767276000000,858.0,859.0,856.2,857.3,1879.94
1767279600000,857.3,860.1,855.7,858.8,4960.37
1767283200000,858.8,859.2,856.7,857.4,947.08
1767286800000,857.4,860.4,856.5,859.2,2006.8
1767290400000,859.2,859.5,858.1,859.3,438.2
1767294000000,859.3,861.0,858.5,860.9,658.63
1767297600000,860.9,861.5,859.4,860.3,1143.95
1767301200000,860.3,862.2,860.2,861.7,623.11
1767304800000,861.7,863.4,860.7,862.9,2410.54
1767308400000,862.9,864.2,861.6,863.8,1181.52
1767312000000,863.8,864.4,860.9,863.7,2589.67
1767315600000,863.7,864.2,861.2,862.0,1585.31
1767319200000,862.0,862.7,858.9,862.7,1865.53
1767322800000,862.7,866.9,862.1,865.3,3001.2
1767326400000,865.3,865.8,863.0,864.3,3752.73
1767330000000,864.3,866.7,862.6,865.7,2177.09
1767333600000,865.7,867.4,865.0,865.7,1334.73
1767337200000,865.7,866.2,864.0,864.3,1560.19
1767340800000,864.3,868.9,864.3,867.5,3365.16
1767344400000,867.5,871.8,867.1,870.8,2944.22
1767348000000,870.8,874.1,870.6,871.6,6123.28
1767351600000,871.6,871.7,866.7,869.4,3194.13
1767355200000,869.4,871.0,868.7,869.4,1421.38
1767358800000,869.4,872.0,868.7,870.2,1864.32
1767362400000,870.2,877.8,864.8,875.4,10013.14
1767366000000,875.4,882.5,870.1,878.0,9401.51
1767369600000,878.0,887.2,877.3,886.6,7892.06
1767373200000,886.6,891.2,883.8,887.0,10722.22
1767376800000,887.0,888.4,878.8,880.6,3529.65
