ts,open,high,low,close,volume
1767225600000,87594.9,87652.4,87574.0,87650.6,117.125
1767225900000,87650.6,87770.8,87650.5,87719.6,154.594
1767226200000,87719.6,87719.6,87684.7,87684.8,51.756
1767226500000,87684.8,87719.9,87684.7,87719.1,88.448
1767226800000,87719.1,87728.0,87713.3,87713.4,35.79
1767227100000,87713.4,87738.9,87713.3,87723.9,33.763
1767227400000,87723.9,87726.3,87696.0,87696.1,52.894
1767227700000,87696.1,87717.2,87676.2,87699.4,73.482
1767228000000,87699.4,87716.0,87687.4,87698.1,18.225
1767228300000,87698.1,87766.5,87698.1,87766.5,24.669
1767228600000,87766.5,87782.9,87747.0,87752.8,41.868
1767228900000,87752.8,87814.0,87752.7,87758.5,59.052
1767229200000,87758.5,87816.5,87758.5,87807.1,56.667
1767229500000,87807.1,87916.0,87807.0,87916.0,276.046
1767229800000,87916.0,87977.9,87888.8,87950.2,411.907
1767230100000,87950.2,88022.1,87898.7,87898.8,190.344
1767230400000,87898.8,87925.4,87855.4,87888.3,62.272
1767230700000,87888.3,87899.8,87830.0,87837.2,47.564
1767231000000,87837.2,87865.5,87837.1,87854.0,37.896
1767231300000,87854.0,87854.0,87790.0,87808.2,42.522
1767231600000,87808.2,87851.3,87808.1,87851.3,25.157
1767231900000,87851.3,87910.5,87835.5,87868.8,65.427
1767232200000,87868.8,87958.6,87868.8,87958.6,25.178
1767232500000,87958.6,87980.6,87912.5,87914.0,128.673
1767232800000,87914.0,87918.5,87854.8,87918.5,46.521
1767233100000,87918.5,87990.9,87918.4,87990.5,36.91
1767233400000,87990.5,87990.6,87938.3,87958.9,50.416
1767233700000,87958.9,88054.0,87947.0,87954.7,96.505
1767234000000,87954.7,87979.5,87920.0,87928.6,44.606
1767234300000,87928.6,87928.6,87901.8,87917.1,42.698
1767234600000,87917.1,88021.9,87906.0,87954.4,75.549
1767234900000,87954.4,87962.0,87900.1,87952.5,58.173
1767235200000,87952.5,87971.3,87903.3,87918.0,25.694
1767235500000,87918.0,87923.1,87872.4,87889.5,78.467
1767235800000,87889.5,87889.6,87855.0,87866.3,34.277
1767236100000,87866.3,87919.0,87852.1,87875.9,77.534
1767236400000,87875.9,87877.4,87850.0,87877.4,58.405
1767236700000,87877.4,87909.8,87869.5,87887.6,83.131
1767237000000,87887.6,87948.7,87880.8,87948.7,26.898
