ts,open,high,low,close,volume
1767225600000,0.1174,0.11764,0.11737,0.11762,1615322.0
1767225900000,0.11762,0.11772,0.11752,0.11764,2778841.0
1767226200000,0.11764,0.11768,0.11763,0.11763,1308351.0
1767226500000,0.11763,0.11775,0.11763,0.11775,2255291.0
1767226800000,0.11775,0.11775,0.11764,0.11767,7861913.0
1767227100000,0.11767,0.11787,0.11766,0.11782,1647904.0
1767227400000,0.11782,0.11791,0.1178,0.11789,2216676.0
1767227700000,0.11789,0.11792,0.11771,0.11775,6696277.0
1767228000000,0.11775,0.11782,0.11771,0.11775,943355.0
1767228300000,0.11775,0.11776,0.1177,0.11775,941638.0
1767228600000,0.11775,0.11789,0.11773,0.11784,2251612.0
1767228900000,0.11784,0.1179,0.11783,0.11787,1979967.0
1767229200000,0.11787,0.11802,0.11786,0.11794,1316392.0
1767229500000,0.11794,0.11835,0.11794,0.11832,9091896.0
1767229800000,0.11832,0.11852,0.11824,0.11844,8530049.0
1767230100000,0.11844,0.1185,0.11821,0.11823,3216478.0
1767230400000,0.11823,0.11824,0.11813,0.11823,1051531.0
1767230700000,0.11823,0.11823,0.11805,0.11807,680630.0
1767231000000,0.11807,0.1182,0.11807,0.11814,1590606.0
1767231300000,0.11814,0.11822,0.1181,0.1182,1074975.0
1767231600000,0.1182,0.11833,0.11818,0.1183,980095.0
1767231900000,0.1183,0.1184,0.11828,0.11832,1480853.0
1767232200000,0.11832,0.11857,0.11832,0.11851,3052152.0
1767232500000,0.11851,0.11861,0.11845,0.11847,1550717.0
1767232800000,0.11847,0.11852,0.11838,0.11847,1744372.0
1767233100000,0.11847,0.11856,0.11839,0.11846,10918386.0
1767233400000,0.11846,0.11846,0.11827,0.11836,2080653.0
1767233700000,0.11836,0.11844,0.11827,0.11835,3738260.0
1767234000000,0.11835,0.11844,0.11827,0.11839,1808644.0
1767234300000,0.11839,0.11841,0.11832,0.11841,1615230.0
1767234600000,0.11841,0.11874,0.1184,0.11851,2882110.0
1767234900000,0.11851,0.11866,0.1185,0.11861,639880.0
1767235200000,0.11861,0.11866,0.11853,0.11854,818204.0
1767235500000,0.11854,0.11857,0.11852,0.11852,405137.0
1767235800000,0.11852,0.11858,0.11847,0.11856,2222346.0
1767236100000,0.11856,0.11859,0.11849,0.11849,1003683.0
1767236400000,0.11849,0.11856,0.11844,0.11846,1403423.0
1767236700000,0.11846,0.11846,0.1182,0.11823,2703212.0
1767237000000,0.11823,0.11829,0.11812,0.11825,1210744.0
1767237300000,0.11825,0.11828,0.11818,0.11826,870352.0
1767237600000,0.11826,0.1183,0.11816,0.11817,661677.0
1767237900000,0.11817,0.11849,0.11816,0.11842,1848723.0
1767238200000,0.11842,0.11849,0.11827,0.11848,2477715.0
1767238500000,0.11848,0.11863,0.11847,0.11853,1030821.0
1767238800000,0.11853,0.11854,0.11848,0.11852,1150051.0
1767239100000,0.11852,0.11852,0.1184,0.11841,1478942.0
1767239400000,0.11841,0.11841,0.11821,0.11821,2361981.0
1767239700000,0.11821,0.11826,0.11817,0.11823,823106.0
1767240000000,0.11823,0.11839,0.11816,0.11831,20028091.0
1767240300000,0.11831,0.11838,0.11807,0.11812,2184242.0
1767240600000,0.11812,0.11826,0.11812,0.11822,2260426.0
1767240900000,0.11822,0.1183,0.11817,0.11822,1477292.0
1767241200000,0.11822,0.11825,0.11816,0.11821,916702.0
1767241500000,0.11821,0.11821,0.11817,0.1182,487720.0
1767241800000,0.1182,0.11827,0.11811,0.11812,1003833.0
1767242100000,0.11812,0.11819,0.11807,0.11807,799208.0
1767242400000,0.11807,0.11817,0.11789,0.11795,2833930.0
1767242700000,0.11795,0.11812,0.11793,0.11804,1537660.0
1767243000000,0.11804,0.11805,0.11794,0.11797,574209.0
1767243300000,0.11797,0.118,0.11792,0.11796,1057987.0
1767243600000,0.11796,0.11811,0.11794,0.11811,1177431.0
1767243900000,0.11811,0.11845,0.11811,0.11844,1672734.0
1767244200000,0.11844,0.11844,0.11834,0.11834,314087.0
1767244500000,0.11834,0.11852,0.11834,0.11845,957280.0
1767244800000,0.11845,0.11851,0.11838,0.11842,616740.0
1767245100000,0.11842,0.11853,0.11842,0.11847,792646.0
1767245400000,0.11847,0.11869,0.1184,0.11859,2585429.0
1767245700000,0.11859,0.11861,0.11841,0.11847,402818.0
1767246000000,0.11847,0.11854,0.11846,0.1185,563017.0
1767246300000,0.1185,0.11852,0.11845,0.11848,501039.0
1767246600000,0.11848,0.11853,0.11842,0.11852,818751.0
1767246900000,0.11852,0.11853,0.11845,0.11848,529677.0
1767247200000,0.11848,0.11862,0.11848,0.11858,781866.0
1767247500000,0.11858,0.11858,0.11839,0.11841,857609.0
1767247800000,0.11841,0.11853,0.11838,0.11852,497557.0
1767248100000,0.11852,0.11856,0.11846,0.11852,587526.0
1767248400000,0.11852,0.11854,0.11842,0.11846,677401.0
1767248700000,0.11846,0.1185,0.11837,0.11839,1979848.0
1767249000000,0.11839,0.11839,0.11826,0.11838,5425377.0
