ts,open,high,low,close,volume
1767225600000,2970.57,2979.65,2970.25,2975.31,7436.12
1767226500000,2975.31,2979.82,2975.28,2978.59,1623.55
1767227400000,2978.59,2980.0,2977.42,2979.08,1601.81
1767228300000,2979.08,2982.3,2978.18,2978.83,3687.64
1767229200000,2978.83,2987.09,2978.83,2985.27,9656.46
1767230100000,2985.27,2988.54,2981.68,2981.68,6742.55
1767231000000,2981.68,2985.83,2978.47,2985.61,3794.26
1767231900000,2985.61,2987.86,2982.96,2983.54,5502.07
1767232800000,2983.54,2986.76,2982.13,2984.93,1541.31
1767233700000,2984.93,2987.14,2982.0,2983.41,1457.96
1767234600000,2983.41,2985.91,2981.1,2981.87,1947.65
1767235500000,2981.87,2983.0,2979.45,2981.63,1660.8
1767236400000,2981.63,2983.8,2980.43,2983.8,1433.33
1767237300000,2983.8,2985.83,2981.19,2982.3,1353.56
1767238200000,2982.3,2983.41,2981.01,2982.44,1425.73
1767239100000,2982.44,2982.45,2978.79,2979.42,1963.38
1767240000000,2979.42,2980.29,2974.94,2975.96,4400.89
1767240900000,2975.96,2977.73,2973.58,2977.13,3476.04
1767241800000,2977.13,2979.0,2972.12,2972.75,3626.95
1767242700000,2972.75,2976.76,2972.42,2974.96,3414.51
1767243600000,2974.96,2980.51,2974.96,2978.99,1775.29
1767244500000,2978.99,2981.82,2978.81,2981.33,1226.38
1767245400000,2981.33,2983.34,2979.74,2981.52,3561.83
1767246300000,2981.52,2982.56,2980.96,2981.02,1125.63
1767247200000,2981.02,2981.03,2977.17,2980.36,3343.96
1767248100000,2980.36,2980.71,2976.87,2978.61,3230.23
1767249000000,2978.61,2979.45,2977.16,2977.59,1828.2
1767249900000,2977.59,2978.08,2975.25,2975.92,1930.84
1767250800000,2975.92,2979.93,2975.91,2977.95,1355.52
1767251700000,2977.95,2979.97,2976.69,2977.1,2210.95
1767252600000,2977.1,2981.37,2977.1,2979.94,1848.15
1767253500000,2979.94,2980.53,2977.44,2977.46,4040.82
1767254400000,2977.46,2981.58,2976.87,2979.88,1817.76
1767255300000,2979.88,2981.81,2979.88,2980.8,1523.77
1767256200000,2980.8,2982.75,2979.32,2979.59,1695.49
1767257100000,2979.59,2982.45,2979.59,2981.61,2214.13
1767258000000,2981.61,2985.0,2981.03,2983.63,3540.42
1767258900000,2983.63,2986.85,2982.92,2982.93,2968.85
1767259800000,2982.93,2984.71,2981.54,2984.3,3395.34
1767260700000,2984.3,2984.85,2982.3,2982.98,2420.48
