ts,open,high,low,close,volume
1767225600000,2970.57,2988.54,2970.25,2979.42,52828.18
1767240000000,2979.42,2983.34,2972.12,2977.46,42396.19
1767254400000,2977.46,2993.08,2976.87,2988.31,45766.26
1767268800000,2988.31,2994.68,2975.9,2988.9,67588.79
1767283200000,2988.9,3005.54,2979.11,2994.31,112134.87
1767297600000,2994.31,3008.73,2985.55,3002.79,78770.95
1767312000000,3002.79,3034.66,2990.03,3021.49,147313.26
1767326400000,3021.49,3038.47,3006.77,3016.91,110643.63
1767340800000,3016.91,3069.61,3013.95,3046.18,228644.83
1767355200000,3046.18,3108.54,3018.76,3084.98,438446.25
1767369600000,3084.98,3150.0,3076.95,3122.6,442628.22
1767384000000,3122.6,3145.2,3109.65,3123.67,91919.21
1767398400000,3123.67,3135.44,3117.1,3123.86,57315.24
1767412800000,3123.86,3126.65,3073.0,3089.08,174212.61
1767427200000,3089.08,3109.0,3082.04,3096.75,101366.74
1767441600000,3096.75,3112.98,3091.78,3099.28,89569.11
1767456000000,3099.28,3117.45,3095.93,3111.68,49308.83
1767470400000,3111.68,3129.95,3105.38,3125.42,58567.85
1767484800000,3125.42,3165.39,3124.44,3145.82,155939.23
1767499200000,3145.82,3162.4,3132.83,3139.79,108778.18
1767513600000,3139.79,3147.64,3124.6,3138.21,108359.72
1767528000000,3138.21,3145.83,3116.0,3133.77,97077.29
1767542400000,3133.77,3142.82,3117.14,3131.45,82808.44
1767556800000,3131.45,3154.0,3128.77,3143.19,103215.07
1767571200000,3143.19,3221.3,3141.12,3184.48,348139.94
1767585600000,3184.48,3186.93,3132.0,3155.75,192986.05
1767600000000,3155.75,3182.48,3151.13,3178.89,143408.46
1767614400000,3178.89,3205.0,3132.99,3194.54,379975.08
1767628800000,3194.54,3229.28,3157.36,3221.83,356597.07
1767643200000,3221.83,3265.0,3218.5,3224.01,221369.58
1767657600000,3224.01,3246.99,3201.53,3223.84,140190.74
1767672000000,3223.84,3253.6,3209.46,3217.56,144973.65
1767686400000,3217.56,3241.85,3212.48,3236.47,86508.63
1767700800000,3236.47,3308.0,3227.57,3270.62,445029.85
1767715200000,3270.62,3277.84,3181.09,3222.0,399726.84
1767729600000,3222.0,3302.47,3221.54,3295.88,253339.21
1767744000000,3295.88,3295.95,3237.42,3265.32,185131.67
1767758400000,3265.32,3270.74,3245.3,3253.73,82388.98
1767772800000,3253.73,3262.24,3193.31,3218.97,273515.39
1767787200000,3218.97,3227.61,3142.58,3163.31,439587.24
1767801600000,3163.31,3178.44,3123.41,3143.83,243561.04
1767816000000,3143.83,3180.77,3126.17,3167.3,143270.34
1767830400000,3167.3,3183.35,3130.29,3140.86,152862.02
1767844800000,3140.86,3160.26,3088.15,3125.89,290568.78
1767859200000,3125.89,3136.28,3095.0,3119.4,185758.58
1767873600000,3119.4,3119.87,3052.37,3102.94,439864.35
1767888000000,3102.94,3137.89,3088.21,3109.85,228796.87
1767902400000,3109.85,3129.44,3087.31,3105.48,108841.96
1767916800000,3105.48,3147.0,3078.5,3118.2,185711.08
1767931200000,3118.2,3124.49,3108.51,3109.11,73710.55
1767945600000,3109.11,3113.81,3064.88,3088.59,183325.64
1767960000000,3088.59,3141.99,3055.31,3110.69,418074.02
1767974400000,3110.69,3144.5,3067.0,3078.49,278176.49
1767988800000,3078.49,3092.19,3063.34,3086.99,89947.11
1768003200000,3086.99,3093.75,3078.73,3085.28,33427.79
1768017600000,3085.28,3092.13,3077.25,3091.66,29704.81
1768032000000,3091.66,3102.87,3086.0,3095.67,49474.23
1768046400000,3095.67,3102.13,3086.98,3094.32,40118.01
1768060800000,3094.32,3098.21,3089.0,3090.97,23244.04
1768075200000,3090.97,3093.32,3077.01,3085.62,39502.42
1768089600000,3085.62,3096.39,3083.01,3095.8,29486.39
1768104000000,3095.8,3101.32,3088.3,3093.9,30403.78
1768118400000,3093.9,3109.29,3091.33,3104.0,42149.5
1768132800000,3104.0,3129.77,3103.35,3116.87,93892.7
1768147200000,3116.87,3146.5,3114.52,3123.11,118602.57
1768161600000,3123.11,3124.8,3090.8,3121.62,133752.51
1768176000000,3121.62,3170.72,3095.36,3150.94,249063.41
1768190400000,3150.94,3165.77,3131.45,3133.66,108471.84
1768204800000,3133.66,3146.28,3098.8,3113.95,243034.05
1768219200000,3113.95,3133.94,3063.39,3128.85,382244.04
1768233600000,3128.85,3145.79,3082.49,3119.62,275896.44
1768248000000,3119.62,3126.69,3081.75,3093.53,125755.44
1768262400000,3093.53,3118.0,3090.01,3114.88,98878.31
1768276800000,3114.88,3145.98,3111.01,3120.7,151046.5
1768291200000,3120.7,3148.0,3120.7,3132.86,111020.1
1768305600000,3132.86,3187.87,3128.01,3183.07,417476.67
1768320000000,3183.07,3217.67,3169.64,3214.72,295148.71
1768334400000,3214.72,3383.0,3188.75,3324.22,527770.41
1768348800000,3324.22,3357.32,3314.0,3351.45,189000.34
1768363200000,3351.45,3367.52,3320.59,3335.2,144559.21
1768377600000,3335.2,3342.42,3280.08,3284.44,149723.11
1768392000000,3284.44,3362.41,3277.57,3344.41,388294.69
1768406400000,3344.41,3402.71,3313.95,3366.22,471554.96
1768420800000,3366.22,3391.92,3345.42,3353.07,168966.45
1768435200000,3353.07,3353.86,3273.85,3284.4,222828.07
1768449600000,3284.4,3334.69,3282.51,3328.95,117371.22
1768464000000,3328.95,3377.43,3318.64,3348.15,180721.96
1768478400000,3348.15,3383.42,3283.5,3329.2,463047.4
1768492800000,3329.2,3336.0,3270.54,3294.33,289742.9
1768507200000,3294.33,3322.85,3274.77,3317.54,123921.25
1768521600000,3317.54,3326.73,3290.01,3293.86,86077.7
1768536000000,3293.86,3316.21,3275.33,3308.35,122996.34
