ts,open,high,low,close,volume
1767225600000,25.447,25.609,25.414,25.605,66146.94
1767229200000,25.605,26.1,25.597,25.803,248080.67
1767232800000,25.803,25.863,25.634,25.707,101203.23
1767236400000,25.707,25.726,25.502,25.588,122324.33
1767240000000,25.588,25.61,25.403,25.46,99468.66
1767243600000,25.46,25.686,25.441,25.519,140692.48
1767247200000,25.519,25.681,25.375,25.522,175810.69
1767250800000,25.522,25.713,25.508,25.678,89766.65
1767254400000,25.678,25.718,25.564,25.622,63946.55
1767258000000,25.622,25.86,25.613,25.766,113542.16
1767261600000,25.766,25.81,25.679,25.716,57521.7
1767265200000,25.716,25.798,25.631,25.794,86296.64
1767268800000,25.794,25.798,25.652,25.692,60919.71
1767272400000,25.692,25.738,25.496,25.516,58352.78
1767276000000,25.516,25.618,25.2,25.306,277977.54
1767279600000,25.306,25.4,24.036,24.311,1046972.26
1767283200000,24.311,24.529,23.956,24.452,803964.79
1767286800000,24.452,24.623,24.356,24.422,314240.08
1767290400000,24.422,24.506,24.201,24.359,196926.69
1767294000000,24.359,24.424,24.091,24.407,218721.21
1767297600000,24.407,24.493,23.707,24.086,580039.08
1767301200000,24.086,24.225,24.063,24.089,146817.6
1767304800000,24.089,24.185,24.039,24.1,138359.21
1767308400000,24.1,24.257,24.086,24.239,224295.7
1767312000000,24.239,24.388,24.053,24.353,222457.66
1767315600000,24.353,24.508,24.312,24.377,172952.57
1767319200000,24.377,24.378,24.159,24.256,162742.99
1767322800000,24.256,24.62,24.182,24.51,235277.62
1767326400000,24.51,24.788,24.424,24.741,237562.41
1767330000000,24.741,24.787,24.355,24.716,340039.33
1767333600000,24.716,24.766,24.557,24.602,195119.8
1767337200000,24.602,24.629,24.195,24.312,218407.21
1767340800000,24.312,24.503,24.281,24.485,90223.82
1767344400000,24.485,24.879,24.446,24.789,309826.78
1767348000000,24.789,25.014,24.684,24.831,314796.12
1767351600000,24.831,24.839,24.399,24.461,278775.26
1767355200000,24.461,24.626,24.425,24.454,164179.49
1767358800000,24.454,24.639,24.448,24.55,155297.08
1767362400000,24.55,24.715,24.236,24.571,456340.24
1767366000000,24.571,24.673,24.327,24.5,255788.14
1767369600000,24.5,24.884,24.402,24.612,416784.86
1767373200000,24.612,24.772,24.404,24.583,250865.64
1767376800000,24.583,24.663,24.408,24.593,170392.82
1767380400000,24.593,24.733,24.534,24.628,233176.43
1767384000000,24.628,24.678,24.043,24.162,371487.37
1767387600000,24.162,24.463,24.138,24.454,353191.67
1767391200000,24.454,24.608,24.406,24.472,171401.6
1767394800000,24.472,24.634,24.449,24.598,117309.6
1767398400000,24.598,24.63,24.529,24.605,92190.72
