ts,open,high,low,close,volume
1767225600000,124.64,125.81,124.58,125.2,703491.0
1767240000000,125.2,125.3,124.21,124.23,531800.5
1767254400000,124.23,125.25,124.13,125.22,628805.5
1767268800000,125.22,125.26,124.4,124.91,673082.4
1767283200000,124.91,125.77,124.23,125.72,1287679.8
1767297600000,125.72,127.26,125.27,126.87,1114204.7
1767312000000,126.87,127.97,125.81,127.51,1339022.8
1767326400000,127.51,127.73,126.7,127.1,792368.9
1767340800000,127.1,129.95,127.08,128.16,1821383.9
1767355200000,128.16,129.59,126.74,128.92,2690178.0
1767369600000,128.92,132.32,128.6,131.56,3063373.2
1767384000000,131.56,133.28,130.76,132.24,1502284.0
1767398400000,132.24,133.13,132.02,132.79,748932.3
1767412800000,132.79,132.87,129.51,130.04,1095049.2
1767427200000,130.04,131.38,129.72,130.61,832824.9
1767441600000,130.61,132.14,130.41,131.42,836379.8
1767456000000,131.42,132.0,131.41,131.71,413418.0
1767470400000,131.71,133.91,131.27,133.32,1104012.7
1767484800000,133.32,134.97,133.24,134.53,1453047.8
1767499200000,134.53,135.04,133.55,133.75,872785.8
1767513600000,133.75,134.83,133.14,134.32,883946.8
1767528000000,134.32,135.29,133.68,134.8,1265595.3
1767542400000,134.8,135.48,132.94,133.47,1324703.9
1767556800000,133.47,134.79,133.31,134.03,782798.8
1767571200000,134.03,137.72,133.91,136.59,2279463.7
1767585600000,136.59,136.72,134.51,135.35,1341626.9
1767600000000,135.35,135.98,134.65,135.66,937377.0
1767614400000,135.66,136.45,133.1,136.09,2978458.8
1767628800000,136.09,138.81,134.22,138.21,2540322.8
1767643200000,138.21,139.85,137.7,137.85,1308180.1
1767657600000,137.85,138.57,136.82,138.3,1137433.2
1767672000000,138.3,140.0,137.24,137.49,1587077.4
1767686400000,137.49,139.63,137.29,139.44,1253058.3
1767700800000,139.44,143.46,138.63,141.51,3779537.9
1767715200000,141.51,141.92,136.08,137.47,3651399.3
1767729600000,137.47,141.99,137.43,141.03,2107547.1
1767744000000,141.03,141.34,138.43,139.51,1605966.9
1767758400000,139.51,139.65,137.99,139.3,876137.9
1767772800000,139.3,139.73,136.46,137.85,1636697.7
1767787200000,137.85,138.45,135.13,135.59,2453551.7
1767801600000,135.59,136.57,134.33,135.66,1527098.5
1767816000000,135.66,137.01,134.9,136.32,878870.9
1767830400000,136.32,138.23,135.9,136.66,1301059.1
1767844800000,136.66,138.29,133.69,135.8,2188711.9
1767859200000,135.8,136.14,133.8,134.72,1262035.3
1767873600000,134.72,136.46,132.67,136.32,2718110.2
1767888000000,136.32,139.0,136.16,137.47,2285558.7
1767902400000,137.47,140.03,136.44,138.26,1512726.0
1767916800000,138.26,141.11,137.63,140.74,1610823.6
1767931200000,140.74,141.0,139.38,139.49,1045739.3
1767945600000,139.49,139.64,136.98,138.2,1842828.5
1767960000000,138.2,140.89,136.07,138.78,3402865.9
1767974400000,138.78,140.21,135.33,135.7,2426417.3
1767988800000,135.7,136.36,134.87,135.91,998569.6
1768003200000,135.91,136.69,135.59,136.08,588751.4
1768017600000,136.08,136.29,135.66,136.04,329468.5
1768032000000,136.04,137.04,135.94,136.55,503926.5
1768046400000,136.55,137.0,135.97,136.39,452994.3
1768060800000,136.39,136.66,135.81,136.18,442545.0
1768075200000,136.18,136.22,135.2,135.77,527349.8
1768089600000,135.77,136.4,135.67,136.2,346509.6
1768104000000,136.2,136.36,135.79,136.11,298762.7
1768118400000,136.11,136.82,136.01,136.5,373006.8
1768132800000,136.5,139.51,136.44,138.39,1631229.1
1768147200000,138.39,141.56,138.39,139.37,2077358.5
1768161600000,139.37,139.69,137.44,139.61,1758301.6
1768176000000,139.61,144.32,138.82,142.45,3403885.7
1768190400000,142.45,143.24,141.29,141.34,1296512.4
1768204800000,141.34,141.99,138.93,139.9,2387508.3
1768219200000,139.9,142.72,138.59,142.56,2579755.8
1768233600000,142.56,144.25,140.5,140.93,3940815.6
1768248000000,140.93,141.81,138.22,139.12,2131118.7
1768262400000,139.12,139.48,137.75,138.67,1204455.7
1768276800000,138.67,140.71,138.3,139.9,1639064.8
1768291200000,139.9,143.08,139.89,141.83,2011364.8
1768305600000,141.83,143.79,140.89,143.44,3747219.0
1768320000000,143.44,144.55,142.37,144.16,2201680.4
1768334400000,144.16,148.95,142.97,145.46,4252912.0
1768348800000,145.46,146.74,144.3,146.21,1908746.3
1768363200000,146.21,146.38,143.8,144.8,1293949.7
1768377600000,144.8,145.69,143.43,143.67,988057.6
1768392000000,143.67,147.5,143.22,146.99,2821471.8
1768406400000,146.99,148.4,145.17,146.71,2374629.4
1768420800000,146.71,147.7,145.72,146.62,1244913.7
1768435200000,146.62,146.64,143.11,143.41,1562653.0
1768449600000,143.41,145.22,143.2,144.93,897129.6
1768464000000,144.93,145.96,143.92,144.78,977148.4
1768478400000,144.78,145.59,141.65,143.37,2621854.8
1768492800000,143.37,144.18,140.81,141.44,2067290.3
1768507200000,141.44,142.6,140.94,142.34,614128.2
1768521600000,142.34,142.77,141.6,141.85,455018.0
1768536000000,141.85,143.73,141.39,142.88,1043242.4
1768550400000,142.88,143.48,142.61,143.03,719633.1
1768564800000,143.03,143.77,140.14,140.69,2167272.4
1768579200000,140.69,144.48,140.55,144.12,1742736.8
1768593600000,144.12,145.56,143.4,144.86,1275666.1
1768608000000,144.86,144.95,144.15,144.3,371364.6
1768622400000,144.3,144.44,143.54,143.56,320025.9
1768636800000,143.56,144.59,143.25,143.92,613449.5
1768651200000,143.92,144.24,143.5,144.23,555391.9
1768665600000,144.23,144.45,143.45,144.18,508511.8
1768680000000,144.18,144.52,143.41,143.63,349536.1
1768694400000,143.63,143.92,141.86,142.75,1170789.4
1768708800000,142.75,142.96,141.98,142.05,444102.3
1768723200000,142.05,142.6,141.87,142.34,372378.7
1768737600000,142.34,142.71,141.41,141.93,620268.7
1768752000000,141.93,143.18,141.67,142.19,620697.3
1768766400000,142.19,142.95,137.69,137.82,1973644.1
1768780800000,137.82,137.82,129.69,133.83,5892678.1
1768795200000,133.83,133.98,132.63,133.4,789336.4
1768809600000,133.4,134.32,133.2,134.04,680331.4
1768824000000,134.04,134.16,133.2,133.46,622067.2
1768838400000,133.46,134.65,133.4,134.39,620268.6
1768852800000,134.39,135.12,132.67,133.37,995352.3
1768867200000,133.37,134.62,133.0,134.21,878467.8
1768881600000,134.21,134.22,130.5,130.56,2081953.3
1768896000000,130.56,130.76,128.29,128.72,2082971.2
1768910400000,128.72,129.7,127.17,127.8,2491129.7
1768924800000,127.8,128.52,126.22,127.18,1905034.0
1768939200000,127.18,128.02,124.37,125.74,1754288.0
1768953600000,125.74,127.79,125.68,127.54,941947.9
1768968000000,127.54,128.69,127.35,127.54,761591.4
1768982400000,127.54,128.15,126.73,126.89,894286.2
1768996800000,126.89,131.13,126.1,130.36,3068364.8
1769011200000,130.36,131.64,125.16,131.48,3922821.3
