ts,open,high,low,close,volume
1767225600000,1.8412,1.8493,1.8333,1.8337,13777269.8
1767240000000,1.8337,1.8546,1.8253,1.8412,18960418.7
1767254400000,1.8412,1.8562,1.8406,1.8545,14505157.1
1767268800000,1.8545,1.8666,1.8503,1.8618,17593560.5
1767283200000,1.8618,1.8744,1.8543,1.873,25008178.6
1767297600000,1.873,1.8802,1.8665,1.8788,17157698.7
1767312000000,1.8788,1.8917,1.868,1.8879,22682554.0
1767326400000,1.8879,1.8896,1.8694,1.8708,15489115.5
1767340800000,1.8708,1.9083,1.8703,1.8903,32989602.2
1767355200000,1.8903,1.9243,1.8863,1.9174,54500393.5
1767369600000,1.9174,1.9978,1.915,1.9914,100550148.4
1767384000000,1.9914,2.0309,1.9774,2.0063,54623644.2
1767398400000,2.0063,2.0428,2.0061,2.0394,34575655.3
1767412800000,2.0394,2.0556,1.9834,1.9931,58318676.0
1767427200000,1.9931,2.0203,1.9912,1.9983,31146984.6
1767441600000,1.9983,2.0181,1.993,2.0053,25633328.3
1767456000000,2.0053,2.0098,1.9952,2.0061,14365190.0
1767470400000,2.0061,2.0181,1.9979,2.0171,14864152.2
1767484800000,2.0171,2.061,2.0152,2.0565,44944363.1
1767499200000,2.0565,2.0811,2.0518,2.0712,41913540.8
1767513600000,2.0712,2.0965,2.0589,2.094,40373275.0
1767528000000,2.094,2.1196,2.0804,2.0897,59726748.2
1767542400000,2.0897,2.1024,2.0707,2.0836,36447820.2
1767556800000,2.0836,2.1021,2.0785,2.0895,24612381.0
1767571200000,2.0895,2.1662,2.0865,2.1419,65643149.6
1767585600000,2.1419,2.1452,2.1074,2.1328,38199396.5
1767600000000,2.1328,2.1515,2.1241,2.1325,39553309.6
1767614400000,2.1325,2.1688,2.1111,2.1642,68171952.3
1767628800000,2.1642,2.2818,2.1634,2.2773,132655476.1
1767643200000,2.2773,2.3684,2.2751,2.347,143570936.5
1767657600000,2.347,2.4158,2.3157,2.3851,121088222.7
1767672000000,2.3851,2.4083,2.3212,2.3296,76167333.4
1767686400000,2.3296,2.3762,2.3242,2.376,51786727.9
1767700800000,2.376,2.3985,2.333,2.3478,122467850.2
1767715200000,2.3478,2.3541,2.2037,2.2271,165884063.2
1767729600000,2.2271,2.3099,2.2267,2.3027,63470356.9
1767744000000,2.3027,2.3191,2.2554,2.2658,63523119.6
1767758400000,2.2658,2.2858,2.2441,2.279,46006044.5
1767772800000,2.279,2.2902,2.2302,2.2492,64150609.7
1767787200000,2.2492,2.2547,2.1824,2.1943,87572835.6
